CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,
313678513,15,21228,YES,"SOUTH, WEST, EAST",NO,YES,YES,NURSING,STEM,,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
288931776,16,21224,YES,"SOUTH, EAST",NO,NO,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
137461922,17,21213,YES,"EAST, SOUTH, WEST, NORTH",NO,NO,YES,CULINARY ARTS/FOOD SERVICE,CONSTRUCTION/MANUFACTURING,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
490688273,15,21228,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",YES,NO,NO,CUSTODIAL,ELDERLY SERVICES,;SPANISH & ENGLISH BILINGUAL,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
380601684,17,21211,YES,"WEST, SOUTH, EAST, NORTH, DOWNTOWN",YES,NO,NO,CLERICAL OFFICE WORK,STEM,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
279667227,16,21214,YES,"EAST, DOWNTOWN",YES,YES,NO,CULINARY ARTS/FOOD SERVICE,LEGAL,,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
223494321,15,21205,YES,"EAST, NORTH",NO,YES,YES,NURSING,NURSING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
275368537,16,21214,YES,"WEST, EAST, DOWNTOWN",YES,NO,NO,NURSING,NURSING,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
481224248,20,21228,YES,"SOUTH, EAST, NORTH",YES,NO,NO,RETAIL (16+ YEAR OLD ONLY),NURSING,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,
407871802,20,21215,YES,"WEST, EAST, NORTH",NO,YES,YES,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,;VISUAL ARTS; POETRY; DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
298985279,14,21228,YES,"SOUTH, EAST, NORTH, DOWNTOWN",NO,YES,NO,NURSING,NURSING,;CADD; OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,
308540971,16,21205,YES,"EAST, SOUTH, WEST",YES,YES,NO,MUSICAL ARTS,BUSINESS/FINANCE,;CADD,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
593702283,20,21223,YES,"SOUTH, WEST, EAST, DOWNTOWN",YES,NO,NO,NURSING,AUTO MECHANICS,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
191306275,15,21217,YES,"WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,STEM,CAMP COUNSELOR,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
161014908,18,21213,YES,"SOUTH, EAST, NORTH, DOWNTOWN",NO,NO,YES,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,;SWIMMING,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
508312423,15,21222,YES,"EAST, DOWNTOWN",NO,YES,NO,CAMP COUNSELOR,PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
164994650,17,21212,YES,"WEST, EAST, DOWNTOWN",YES,NO,NO,PRE-SCHOOL CHILDCARE,STEM,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
183665395,18,21205,YES,"SOUTH, WEST, EAST",NO,NO,YES,NURSING,AUTO MECHANICS,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
583140957,16,21215,YES,"WEST, SOUTH, EAST, NORTH, DOWNTOWN",NO,YES,NO,PRE-SCHOOL CHILDCARE,STEM,;PLAYS INSTRUMENT; POETRY,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
270770935,16,21040,YES,"WEST, NORTH",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,LEGAL,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
246635186,18,21220,YES,"WEST, EAST, DOWNTOWN",NO,YES,YES,STEM,VISUAL ARTS,;VISUAL ARTS; OFFICE EQUIPEMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
346899269,15,21214,YES,"SOUTH, EAST, NORTH",YES,YES,NO,CULINARY ARTS/FOOD SERVICE,VISUAL ARTS,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
242828674,21,21217,YES,"WEST, EAST, NORTH",YES,NO,NO,RETAIL (16+ YEAR OLD ONLY),PRE-SCHOOL CHILDCARE,,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
308222899,15,21212,YES,"SOUTH, WEST, EAST, NORTH",YES,NO,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,;CADD,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
323575667,16,21215,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",YES,NO,NO,VISUAL ARTS,RECREATION AND SPORTS,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
318458140,18,21217,YES,"WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,STEM,;PLAYS INSTRUMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
435697007,15,21214,YES,"WEST, EAST, DOWNTOWN",NO,YES,YES,ELDERLY SERVICES,RECREATION AND SPORTS,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
561101764,15,21216,YES,"SOUTH, WEST, EAST",YES,YES,YES,RETAIL (16+ YEAR OLD ONLY),CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,
159371107,17,21237,YES,"EAST, SOUTH, WEST, NORTH",YES,NO,NO,STEM,HOSPITALITY/TRAVEL,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
105695178,20,21215,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",YES,NO,NO,STEM,COMPUTER INFORMATION TECH,;CADD,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
270697031,18,21228,YES,"SOUTH, WEST, EAST",NO,YES,YES,CLERICAL OFFICE WORK,COMMUNITY SERVICE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
118371183,15,21163,YES,"SOUTH, WEST, EAST, NORTH",YES,YES,NO,PRE-SCHOOL CHILDCARE,GRAPHIC DESIGN,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,
596492479,15,21206,YES,"SOUTH, EAST, NORTH",YES,NO,NO,MUSICAL ARTS,TEACHER'S AIDE,;PLAYS INSTRUMENT; CADD; DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,
342699929,17,21239,YES,"SOUTH, WEST, EAST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,CONSTRUCTION/MANUFACTURING,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
555342640,14,21215,YES,"WEST, EAST, DOWNTOWN",NO,YES,NO,COMMUNICATION/MEDIA,RETAIL (16+ YEAR OLD ONLY),,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,
114222337,15,21217,YES,"WEST, SOUTH, EAST",NO,YES,NO,STEM,COMMUNICATION/MEDIA,;PLAYS INSTRUMENT; OFFICE EQUIPEMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
418544740,17,21162,YES,"WEST, EAST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,NURSING,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
495290669,15,21215,YES,"WEST, NORTH",NO,YES,YES,LEGAL,TEACHER'S AIDE,;SPANISH & ENGLISH BILINGUAL,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
258101749,17,21237,YES,"SOUTH, EAST, DOWNTOWN",NO,NO,NO,STEM,NURSING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
523314684,16,21237,YES,"WEST, EAST",NO,NO,NO,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
502579263,17,21214,YES,"SOUTH, EAST",YES,NO,NO,STEM,PRE-SCHOOL CHILDCARE,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
368953060,17,21228,YES,"SOUTH, EAST, NORTH, DOWNTOWN",NO,YES,NO,VISUAL ARTS,PRE-SCHOOL CHILDCARE,;VISUAL ARTS; SWIMMING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
389640127,15,21216,YES,"WEST, SOUTH, EAST",YES,NO,NO,ARCHITECTURE,PRE-SCHOOL CHILDCARE,";CADD; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
535458126,17,21237,YES,"SOUTH, WEST, EAST",YES,YES,NO,CULINARY ARTS/FOOD SERVICE,COMMUNITY SERVICE,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
197167826,16,21224,YES,"WEST, EAST",NO,NO,YES,PRE-SCHOOL CHILDCARE,STEM,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,
537667277,14,21215,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,GRAPHIC DESIGN,NURSING,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
197337389,18,21223,YES,"SOUTH, WEST",YES,NO,YES,ARCHITECTURE,PRE-SCHOOL CHILDCARE,;CADD; OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
377876507,17,21228,YES,"SOUTH, EAST, NORTH",NO,YES,NO,COMMUNITY SERVICE,NURSING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
116525987,18,21212,YES,"EAST, SOUTH, WEST",YES,NO,NO,ARCHITECTURE,COMPUTER INFORMATION TECH,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
393047888,17,21228,YES,"SOUTH, EAST, NORTH, DOWNTOWN",YES,YES,NO,RETAIL (16+ YEAR OLD ONLY),ELDERLY SERVICES,;PLAYS INSTRUMENT; SWIMMING; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
457478198,18,21212,YES,"SOUTH, EAST",YES,NO,NO,ELECTRICAL/CARPENTRY,TEACHER'S AIDE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
191034948,17,21228,YES,"SOUTH, WEST, EAST",YES,YES,NO,STEM,PRE-SCHOOL CHILDCARE,;PLAYS INSTRUMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
391891554,15,21214,YES,"SOUTH, WEST, EAST",YES,NO,YES,CONSTRUCTION/MANUFACTURING,CAMP COUNSELOR,;VISUAL ARTS,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
238805083,18,21163,YES,"SOUTH, WEST, EAST, NORTH",NO,YES,NO,ARCHITECTURE,BUSINESS/FINANCE,;VISUAL ARTS,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
140302777,17,21222,YES,"SOUTH, EAST, NORTH",YES,NO,NO,LEGAL,CAMP COUNSELOR,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
314278168,14,21215,YES,"WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,TEACHER'S AIDE,CULINARY ARTS/FOOD SERVICE,;VISUAL ARTS; SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
242276675,14,21163,YES,"SOUTH, WEST, EAST, NORTH",YES,NO,NO,ELDERLY SERVICES,RECREATION AND SPORTS,;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
501005006,17,21205,YES,"SOUTH, WEST, EAST",NO,NO,YES,NURSING,COMMUNICATION/MEDIA,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
574888755,18,21211,YES,"WEST, EAST, NORTH",YES,NO,NO,CONSTRUCTION/MANUFACTURING,PRE-SCHOOL CHILDCARE,;SPANISH & ENGLISH BILINGUAL,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
123064954,14,21204,YES,"SOUTH, WEST, EAST",NO,NO,NO,HOSPITALITY/TRAVEL,STEM,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,
407565945,15,21205,YES,"WEST, EAST, NORTH",NO,YES,YES,STEM,ENVIRONMENTAL/GREEN,";(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
321874018,15,21223,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",YES,NO,NO,RECREATION AND SPORTS,CLERICAL OFFICE WORK,,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
474666484,17,21212,YES,"WEST, EAST",YES,NO,NO,PRE-SCHOOL CHILDCARE,NURSING,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
420216191,19,21206,YES,"WEST, EAST",YES,YES,YES,NURSING,STEM,;SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
322918971,16,21205,YES,"SOUTH, EAST, NORTH",NO,YES,YES,PRE-SCHOOL CHILDCARE,AUTO MECHANICS,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
168464888,15,21217,YES,"WEST, SOUTH, EAST",NO,YES,YES,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;CADD; POETRY,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
450108557,18,21214,YES,"EAST, SOUTH, WEST, NORTH",NO,YES,NO,BUSINESS/FINANCE,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
573639643,14,21215,YES,"WEST, EAST, NORTH",NO,YES,YES,ARCHITECTURE,GRAPHIC DESIGN,;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,
223397341,18,21205,YES,"EAST, NORTH",NO,YES,NO,NURSING,VISUAL ARTS,";VISUAL ARTS; SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
148958902,16,21224,YES,"SOUTH, EAST, NORTH",YES,YES,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,
533374187,17,21215,YES,"WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,RECREATION AND SPORTS,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
588544245,17,21228,YES,"SOUTH, WEST, EAST, NORTH, DOWNTOWN",NO,YES,YES,CONSTRUCTION/MANUFACTURING,VISUAL ARTS,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,
108225116,16,21212,YES,"WEST, EAST, NORTH",YES,NO,NO,CAMP COUNSELOR,COMPUTER INFORMATION TECH,;VISUAL ARTS; POETRY,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
359824884,17,21236,YES,"EAST, SOUTH, WEST, NORTH",NO,YES,YES,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
586372472,18,21205,YES,"SOUTH, EAST",YES,YES,NO,COMPUTER INFORMATION TECH,COMMUNITY SERVICE,;CADD,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
165061855,17,21237,YES,"EAST, DOWNTOWN",NO,NO,NO,RECREATION AND SPORTS,ELECTRICAL/CARPENTRY,;CADD; POETRY,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
558679198,17,21212,YES,"SOUTH, EAST, NORTH",NO,YES,YES,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
268138018,15,21224,YES,"WEST, EAST, NORTH",NO,YES,YES,CONSTRUCTION/MANUFACTURING,VISUAL ARTS,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,
354628196,21,21214,YES,"EAST, WEST, NORTH",NO,YES,YES,RETAIL (16+ YEAR OLD ONLY),MUSICAL ARTS,;PLAYS INSTRUMENT; CADD,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
300316580,16,21224,YES,"EAST, WEST, NORTH",NO,NO,YES,AUTO MECHANICS,MUSICAL ARTS,;CADD; POETRY,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
394109304,17,21212,YES,"SOUTH, EAST",YES,NO,NO,CAMP COUNSELOR,NURSING,;POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
203881454,20,21213,YES,"EAST, DOWNTOWN",NO,YES,NO,NURSING,STEM,;SWIMMING; OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
480820506,18,21206,YES,"SOUTH, WEST, EAST",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,CLERICAL OFFICE WORK,";CADD; OFFICE EQUIPEMENT; (MICROSOFT WORD,POWERPOINT,EXCEL); POETRY",NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
219065849,15,21224,YES,"EAST, WEST, NORTH, DOWNTOWN",NO,YES,YES,LEGAL,PRE-SCHOOL CHILDCARE,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
551720864,16,21230,YES,"SOUTH, EAST, DOWNTOWN",NO,NO,NO,CAMP COUNSELOR,RECREATION AND SPORTS,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
125688980,16,21228,YES,"SOUTH, WEST, EAST, NORTH",YES,NO,NO,COMMUNITY SERVICE,CLERICAL OFFICE WORK,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
