Youth ID,Age,Zip,Willing to Travel Outside Zip Code,Side of City,Working Outside,Dress Code,With Computers,Career Interest 1,Career Interest 2,Skills,Job Choice A,Job Choice B,Job Choice C,Job Choice D,Job Choice E,Job Choice F,Job Choice G,Job Choice H,2nd Language
7158,17,21163,No,Outside City (West),No,Yes,Yes,Culinary Arts/Food Service,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7162,16,21204,No,Outside City (East),Yes,No,No,Nursing,Retail (17+ Year Old Only),Spoken Word or Poetry,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7163,15,21212,No,East,Yes,No,No,Recreation And Sports,Teacher's Aide,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7166,20,21222,No,Outside City (East),No,Yes,No,Visual Arts,Retail (17+ Year Old Only),"Swimming, CADD (Computer Aided Drafting and Design), Office Equipment (i.e. copier, fax machine, scanner, etc.)",INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,Somali
7170,14,21216,No,West,No,Yes,Yes,Port Or Maritime Industry,Pre-School Childcare,Spoken Word or Poetry,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7183,18,21214,No,East,No,Yes,No,Communication/Media,Elderly Services,,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7185,18,21215,No,West,Yes,Yes,Yes,Legal,Engineering,"Swimming, Office Equipment (i.e. copier, fax machine, scanner, etc.), Microsoft Word, Powerpoint, Excel, Dancing",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7194,17,21214,No,East,No,Yes,Yes,Camp Counselor,Culinary Arts/Food Service,"CADD (Computer Aided Drafting and Design), Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7195,14,21228,No,South,No,Yes,Yes,Visual Arts,Government/Public Service,"Visual Arts (Drawing, painting, etc)",INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,
7204,18,21215,No,West,Yes,No,Yes,Pre-School Childcare,Culinary Arts/Food Service,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7208,15,21214,No,East,Yes,No,Yes,Pre-School Childcare,Culinary Arts/Food Service,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
7209,14,21214,No,East,No,Yes,No,Architecture,Computer Information Tech,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7216,16,21204,No,Outside City (East),Yes,No,No,Culinary Arts/Food Service,Pre-School Childcare,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7223,17,21228,No,South,Yes,No,Yes,Recreation And Sports,Musical Arts,"Spoken Word or Poetry, Dancing",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7226,19,21212,No,East,No,No,No,Pre-School Childcare,Hospitality/Travel,"Visual Arts (Drawing, painting, etc), Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7228,17,21217,No,West,No,Yes,Yes,Pre-School Childcare,Nursing,"Plays an Intrustment, Microsoft Word, Powerpoint, Excel",INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7229,18,21214,No,East,No,Yes,Yes,Pre-School Childcare,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7230,18,21215,No,West,Yes,Yes,No,Graphic Design,Pre-School Childcare,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
7231,17,21229,No,West,No,Yes,No,Teacher's Aide,Environmental/Green,Swimming,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7233,14,21229,No,West,No,Yes,No,Pre-School Childcare,Engineering,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7234,20,21217,No,West,Yes,Yes,Yes,Pre-School Childcare,Computer Information Tech,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7270,17,21211,No,West,Yes,No,No,Camp Counselor,STEM,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
7271,15,21206,No,East,No,Yes,Yes,Nursing,Pre-School Childcare,"Spanish & English Bilingual, Plays an Intrustment, Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7275,16,21213,No,East,No,No,No,Custodial,Computer Information Tech,Spanish & English Bilingual,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7278,14,21229,No,West,No,Yes,No,Nursing,Visual Arts,"Visual Arts (Drawing, painting, etc), Dancing",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7279,16,21217,No,West,Yes,No,No,Community Service,STEM,"Visual Arts (Drawing, painting, etc)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
7283,20,21216,No,West,Yes,Yes,No,Pre-School Childcare,Pre-School Childcare,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7284,17,21228,No,South,No,Yes,No,Hospitality/Travel,Pre-School Childcare,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7289,18,21216,No,West,No,No,No,Pre-School Childcare,Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7293,15,21214,No,East,Yes,No,No,Pre-School Childcare,Construction Trades,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,Arabic
7294,15,21224,No,East,No,Yes,Yes,Pre-School Childcare,Nursing,Spanish & English Bilingual,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7296,15,21212,No,East,Yes,No,No,Hospitality/Travel,STEM,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,
7302,17,21217,No,West,No,Yes,Yes,Pre-School Childcare,Elderly Services,,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7306,16,21212,No,East,Yes,Yes,No,Pre-School Childcare,Construction Trades,"Swimming, Dancing",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7311,15,21237,No,East,Yes,Yes,Yes,Musical Arts,Visual Arts,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7312,14,21237,No,East,No,No,Yes,Engineering,Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7313,16,21217,No,West,Yes,Yes,No,Construction Trades,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
7319,20,21230,No,South,Yes,No,No,Recreation And Sports,Camp Counselor,"Visual Arts (Drawing, painting, etc), Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
7324,21,21213,No,East,Yes,Yes,No,Engineering,Culinary Arts/Food Service,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7327,15,21204,No,Outside City (East),No,Yes,Yes,Custodial,Retail (17+ Year Old Only),,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7330,16,21214,No,East,No,Yes,No,STEM,Pre-School Childcare,"Visual Arts (Drawing, painting, etc), CADD (Computer Aided Drafting and Design)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7336,15,21230,No,South,No,No,Yes,Recreation And Sports,Construction Trades,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7340,15,21223,No,West,No,No,No,Engineering,Nursing,Spanish & English Bilingual,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7349,17,21163,No,Outside City (West),Yes,No,No,Nursing,Teacher's Aide,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7352,16,21205,No,East,Yes,No,No,Pre-School Childcare,Clerical Office Work,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7353,16,21205,No,East,Yes,No,No,STEM,Recreation And Sports,"Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7356,17,21215,No,West,No,Yes,Yes,Elderly Services,Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7357,16,21215,No,West,No,Yes,Yes,Architecture,Nursing,"Microsoft Word, Powerpoint, Excel, Spoken Word or Poetry",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7358,19,21216,No,West,Yes,Yes,Yes,Business/Finance,Nursing,"Spanish & English Bilingual, Swimming",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7360,18,21206,No,East,No,Yes,No,Government/Public Service,Engineering,"CADD (Computer Aided Drafting and Design), Dancing",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7362,15,21213,No,East,No,Yes,Yes,Visual Arts,Community Service,"Visual Arts (Drawing, painting, etc), Microsoft Word, Powerpoint, Excel",INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,
7364,14,21213,No,East,No,Yes,Yes,Nursing,Culinary Arts/Food Service,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7369,16,21228,No,South,No,No,Yes,Computer Information Tech,Culinary Arts/Food Service,Swimming,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7374,16,21214,No,East,No,Yes,Yes,Environmental/Green,Nursing,Spoken Word or Poetry,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7388,17,21215,No,West,No,Yes,Yes,Graphic Design,Nursing,Dancing,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7394,19,21212,No,East,No,No,Yes,Nursing,Business/Finance,Plays an Intrustment,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7406,17,21207,No,West,No,No,No,Communication/Media,Camp Counselor,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7407,19,21215,No,West,No,Yes,Yes,STEM,Elderly Services,Swimming,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7408,16,21214,No,East,No,Yes,No,Recreation And Sports,Environmental/Green,Spoken Word or Poetry,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7412,16,21224,No,East,Yes,No,No,Environmental/Green,Visual Arts,"Visual Arts (Drawing, painting, etc), Swimming, Spoken Word or Poetry",NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,
7414,18,21212,No,East,No,Yes,Yes,Clerical Office Work,Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7417,14,21215,No,West,No,Yes,Yes,Nursing,Pre-School Childcare,"Spanish & English Bilingual, Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7418,15,21212,No,East,No,Yes,Yes,Computer Information Tech,Camp Counselor,"Spanish & English Bilingual, CADD (Computer Aided Drafting and Design)",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7419,14,21205,No,East,No,Yes,No,Clerical Office Work,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7421,18,21205,No,East,No,No,No,Recreation And Sports,Government/Public Service,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,Spanish
7433,16,21206,No,East,No,Yes,Yes,Pre-School Childcare,Custodial,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7438,19,21224,No,East,No,Yes,Yes,Culinary Arts/Food Service,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7440,16,21206,No,East,Yes,No,Yes,Construction Trades,STEM,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7445,14,21214,No,East,No,Yes,Yes,Visual Arts,Construction Trades,"Spanish & English Bilingual, Visual Arts (Drawing, painting, etc), Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7451,17,21229,No,West,Yes,No,No,Teacher's Aide,Engineering,CADD (Computer Aided Drafting and Design),NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7455,15,21205,No,East,Yes,Yes,No,Engineering,Visual Arts,"Visual Arts (Drawing, painting, etc)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7459,16,21212,No,East,No,Yes,Yes,Camp Counselor,Nursing,"Plays an Intrustment, Swimming",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7470,19,21201,No,Downtown,Yes,No,No,Elderly Services,Communication/Media,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7472,17,21214,No,East,Yes,Yes,Yes,Pre-School Childcare,Culinary Arts/Food Service,,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7481,18,21216,No,West,Yes,Yes,No,Communication/Media,Camp Counselor,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7484,20,21216,No,West,Yes,Yes,No,Pre-School Childcare,Environmental/Green,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7485,16,21211,No,West,Yes,No,Yes,Teacher's Aide,Recreation And Sports,,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7486,17,21237,No,East,No,Yes,Yes,Retail (17+ Year Old Only),Nursing,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7497,18,21222,No,Outside City (East),No,No,Yes,Recreation And Sports,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7500,19,21205,No,East,No,Yes,Yes,Retail (17+ Year Old Only),Retail (17+ Year Old Only),,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7501,19,21212,No,East,No,No,Yes,Nursing,Nursing,,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7507,18,21215,No,West,No,No,Yes,Hospitality/Travel,Visual Arts,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7514,16,21224,No,East,Yes,No,No,Pre-School Childcare,Engineering,"Swimming, Dancing",INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7519,17,21228,No,South,Yes,No,No,Recreation And Sports,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7522,16,21228,No,South,Yes,No,No,Nursing,Musical Arts,"CADD (Computer Aided Drafting and Design), Office Equipment (i.e. copier, fax machine, scanner, etc.)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7539,15,21216,No,West,No,Yes,Yes,Pre-School Childcare,Recreation And Sports,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,Spanish
7540,17,21163,No,Outside City (West),Yes,Yes,Yes,Teacher's Aide,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7548,19,21214,No,East,No,Yes,No,Auto Mechanics,Pre-School Childcare,"Spanish & English Bilingual, Swimming",INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7549,17,21214,No,East,Yes,No,No,Government/Public Service,Computer Information Tech,"Spanish & English Bilingual, Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7550,17,21222,No,Outside City (East),Yes,Yes,Yes,Musical Arts,Construction Trades,"CADD (Computer Aided Drafting and Design), Office Equipment (i.e. copier, fax machine, scanner, etc.)",INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,
7554,21,21209,No,North,No,No,Yes,STEM,Teacher's Aide,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7563,15,21216,No,West,No,Yes,Yes,Pre-School Childcare,Visual Arts,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,Russian
7567,17,21215,No,West,No,Yes,No,Pre-School Childcare,Graphic Design,,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7575,15,21214,No,East,No,Yes,Yes,Recreation And Sports,Pre-School Childcare,Dancing,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7578,16,21237,No,East,No,No,Yes,Computer Information Tech,Pre-School Childcare,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
7579,17,21215,No,West,No,Yes,No,Architecture,Recreation And Sports,CADD (Computer Aided Drafting and Design),NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7581,15,21204,No,Outside City (East),Yes,Yes,No,Elderly Services,Pre-School Childcare,"Visual Arts (Drawing, painting, etc)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
7583,17,21228,No,South,No,Yes,Yes,Pre-School Childcare,Nursing,Spoken Word or Poetry,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7587,18,21228,No,South,No,Yes,No,Recreation And Sports,Recreation And Sports,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
7589,16,21205,No,East,No,No,Yes,Custodial,Nursing,"Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7600,18,21237,No,East,Yes,No,No,Engineering,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7604,19,21163,No,Outside City (West),No,Yes,No,Business/Finance,Communication/Media,Swimming,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7610,14,21163,No,Outside City (West),No,No,No,Retail (17+ Year Old Only),Clerical Office Work,"Spanish & English Bilingual, Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7611,17,21216,No,West,No,Yes,Yes,Nursing,Recreation And Sports,"CADD (Computer Aided Drafting and Design), Dancing",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7616,18,21204,No,Outside City (East),No,Yes,No,Community Service,Engineering,,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7619,18,21223,No,West,No,Yes,Yes,Nursing,Pre-School Childcare,,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7623,16,21217,No,West,Yes,No,No,Construction Trades,Culinary Arts/Food Service,Swimming,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7626,16,21212,No,East,Yes,Yes,Yes,Business/Finance,Recreation And Sports,"Spanish & English Bilingual, Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
7633,18,21224,No,East,No,Yes,No,Electrical/Carpentry,Environmental/Green,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
