REGISTRATION ID,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL NUMBER,SCHOOL STATUS,HIGHEST GRADE COMPLETED,PRIORITY MATCHING STATUS,
85835,15,21216,YES,"WEST, DOWNTOWN",NO,NO,YES,CLERICAL OFFICE WORK,NURSING,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,407,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85836,17,21206,YES,"EAST, DOWNTOWN",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,CLERICAL OFFICE WORK,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,410,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
85837,18,21215,YES,"WEST, NORTH, DOWNTOWN",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,MUSICAL ARTS,VISUAL ARTS;SWIMMING,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
85838,14,21213,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,TEACHER'S AIDE,CAMP COUNSELOR,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,381,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
85839,15,21239,YES,DOWNTOWN,YES,YES,YES,CUSTODIAL,COMMUNITY SERVICE,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85841,15,21216,YES,"WEST, DOWNTOWN",YES,YES,YES,HOSPITALITY/TRAVEL,PRE-SCHOOL CHILDCARE,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,454,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85842,14,21206,YES,"NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,COMMUNICATION/MEDIA,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,362,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85843,15,21224,YES,DOWNTOWN,NO,NO,YES,ELDERLY SERVICES,CULINARY ARTS/FOOD SERVICE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),416,IN SCHOOL - HS OR LESS,GRADE 9,MANDATORY,
85845,17,21215,NO,,NO,YES,YES,CAMP COUNSELOR,PRE-SCHOOL CHILDCARE,"SWIMMING;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,362,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
85846,16,21234,YES,"NORTH, EAST, WEST, DOWNTOWN",YES,YES,YES,MUSICAL ARTS,HOSPITALITY/TRAVEL,"PLAYS INSTRUMENT;VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,349,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
85847,15,21213,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,RECREATION AND SPORTS,CULINARY ARTS/FOOD SERVICE,SWIMMING;DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,235,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
85850,14,21224,YES,DOWNTOWN,YES,YES,YES,CONSTRUCTION/MANUFACTURING,PRE-SCHOOL CHILDCARE,VISUAL ARTS;POETRY;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),410,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85854,15,21216,YES,"WEST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,STEM,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85858,16,21224,YES,"DOWNTOWN, EAST",NO,YES,YES,BUSINESS/FINANCE,NURSING,VISUAL ARTS;OFFICE EQUIPMENT;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),999,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85859,15,21216,YES,"WEST, DOWNTOWN, EAST",NO,YES,NO,RECREATION AND SPORTS,ARCHITECTURE,SWIMMING,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85860,15,21206,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,BUSINESS/FINANCE,"VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,414,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85862,14,21216,YES,"WEST, DOWNTOWN, NORTH, SOUTH, EAST, SOUTHEAST",NO,YES,YES,STEM,RECREATION AND SPORTS,POETRY,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,,,454,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85864,14,21224,YES,"EAST, SOUTHEAST, DOWNTOWN",NO,YES,YES,TEACHER'S AIDE,HOSPITALITY/TRAVEL,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),999,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85866,14,21224,YES,"EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,COMMUNITY SERVICE,NURSING,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),410,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85868,14,21206,YES,EAST,YES,YES,YES,NURSING,ELDERLY SERVICES,SWIMMING;OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
85869,14,21224,YES,"NORTH, SOUTH, EAST, DOWNTOWN",YES,YES,NO,NURSING,GOVERNMENT/PUBLIC SERVICE,"PLAYS INSTRUMENT;VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),403,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85872,14,21213,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,AUTO MECHANICS,RECREATION AND SPORTS,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,130,IN SCHOOL - POST HS,GRADE 8,NONE,
85873,19,21215,NO,DOWNTOWN,NO,YES,YES,BUSINESS/FINANCE,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),"(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,427,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
85874,15,21216,YES,"WEST, DOWNTOWN, NORTH, SOUTH, EAST, SOUTHEAST",YES,YES,NO,RECREATION AND SPORTS,PRE-SCHOOL CHILDCARE,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,450,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85877,15,21224,YES,"NORTH, SOUTH, EAST, SOUTHEAST, DOWNTOWN",YES,YES,NO,BUSINESS/FINANCE,CONSTRUCTION/MANUFACTURING,SWIMMING;OFFICE EQUIPMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,SPANISH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),421,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85878,15,21205,YES,"EAST, SOUTHEAST, DOWNTOWN",NO,NO,NO,CULINARY ARTS/FOOD SERVICE,RECREATION AND SPORTS,"(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,414,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85880,18,21201,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,NO,YES,CAMP COUNSELOR,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),OFFICE EQUIPMENT;DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,405,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
85883,15,21206,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,CAMP COUNSELOR,VISUAL ARTS,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85886,14,21216,NO,,YES,NO,NO,BUSINESS/FINANCE,GRAPHIC DESIGN,SWIMMING,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,364,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85889,15,21206,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,STEM,COMPUTER INFORMATION TECH,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,480,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85891,19,21215,YES,DOWNTOWN,NO,NO,YES,VISUAL ARTS,COMPUTER INFORMATION TECH,PLAYS INSTRUMENT;VISUAL ARTS,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,422,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
85894,20,21216,YES,"DOWNTOWN, EAST, WEST",NO,YES,NO,HOSPITALITY/TRAVEL,NURSING,"VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,NONE,
85895,14,21213,YES,"NORTH, SOUTH, WEST",NO,YES,YES,HOSPITALITY/TRAVEL,CULINARY ARTS/FOOD SERVICE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,245,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
85898,18,21215,YES,DOWNTOWN,YES,YES,YES,COMPUTER INFORMATION TECH,COMMUNICATION/MEDIA,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
85900,20,21216,YES,"EAST, DOWNTOWN",YES,YES,NO,CONSTRUCTION/MANUFACTURING,MUSICAL ARTS,VISUAL ARTS;POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,PREFERRED,
85903,20,21216,YES,"EAST, SOUTHEAST, WEST, DOWNTOWN",NO,NO,NO,PRE-SCHOOL CHILDCARE,CAMP COUNSELOR,VISUAL ARTS;POETRY,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,454,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,NONE,
85904,14,21213,YES,"SOUTH, EAST, DOWNTOWN",NO,YES,YES,CLERICAL OFFICE WORK,BUSINESS/FINANCE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,210,IN SCHOOL - ALTERNATIVE SCHOOL,GRADE 8,NONE,
85905,18,21215,YES,"DOWNTOWN, EAST, WEST",NO,YES,NO,RECREATION AND SPORTS,CAMP COUNSELOR,"(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,376,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
85906,16,21239,YES,"NORTH, DOWNTOWN",NO,YES,YES,MUSICAL ARTS,CAMP COUNSELOR,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
85907,19,21216,YES,"NORTH, EAST, SOUTH, SOUTHEAST, DOWNTOWN, WEST",NO,YES,YES,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,NONE,
85909,16,21216,YES,WEST,YES,YES,YES,GRAPHIC DESIGN,RECREATION AND SPORTS,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,454,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
85910,19,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,PREFERRED,
85912,19,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CUSTODIAL,AUTO MECHANICS,"(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,0,NOT ATTENDING SCHOOL - HS GRAD / GED,HS GRAD / DIPLOMA,PREFERRED,
85913,15,21206,YES,"NORTH, EAST, WEST, DOWNTOWN",YES,YES,YES,COMPUTER INFORMATION TECH,CLERICAL OFFICE WORK,,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,,,400,IN SCHOOL - POST HS,GRADE 9,NONE,
85915,14,21213,YES,"SOUTH, EAST, DOWNTOWN",NO,NO,NO,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,337,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
85917,15,21224,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,CLERICAL OFFICE WORK,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),999,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85919,14,21213,YES,"SOUTH, EAST, SOUTHEAST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,PLAYS INSTRUMENT;VISUAL ARTS;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,348,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
85922,14,21213,YES,"SOUTH, EAST, SOUTHEAST, NORTH, DOWNTOWN, WEST",NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,NURSING,PLAYS INSTRUMENT;VISUAL ARTS;CADD;OFFICE EQUIPMENT,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,374,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
85923,14,21224,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,NO,YES,CONSTRUCTION/MANUFACTURING,AUTO MECHANICS,VISUAL ARTS;SWIMMING;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),999,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
85924,14,21206,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,VISUAL ARTS,CAMP COUNSELOR,"VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,407,IN SCHOOL - HS OR LESS,GRADE 9,MANDATORY,
85925,18,21206,NO,"NORTH, SOUTH",NO,YES,YES,TEACHER'S AIDE,RECREATION AND SPORTS,,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,405,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
85926,15,21216,YES,WEST,NO,NO,NO,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,400,IN SCHOOL - HS OR LESS,GRADE 10,PREFERRED,
85927,15,21206,YES,"EAST, DOWNTOWN",YES,YES,NO,CULINARY ARTS/FOOD SERVICE,NURSING,PLAYS INSTRUMENT,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,ARABIC,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),407,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
