POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
217,8,2,8,16,16-21,21201,DOWNTOWN,NO,YES,YES,"ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
218,6,0,1,16,16-17,21204,EAST,NO,YES,YES,"CAMP COUNSELOR,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
219,12,3,10,14,14-15,21201,DOWNTOWN,YES,NO,NO,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
220,10,2,9,15,16-17,21201,DOWNTOWN,NO,YES,YES,"BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
221,9,6,2,14,14-21,21223,WEST,NO,NO,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,
HOSPITALITY/TRAVEL,
PORT OR MARITIME INDUSTRY,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
222,4,0,2,16,16-17,21093,NORTH,NO,NO,NO,"HOSPITALITY/TRAVEL,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
223,1,0,0,14,14-15,21163,WEST,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
224,14,2,11,14,14-21,21229,WEST,NO,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
NURSING,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
225,14,2,13,14,14-21,21205,EAST,YES,NO,NO,"COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
226,1,1,0,17,16-21,21163,WEST,NO,NO,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,
STEM,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
227,2,0,1,18,18-21,21250,SOUTH,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
228,2,1,1,15,16-21,21214,EAST,NO,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
229,14,4,7,16,16-21,21206,EAST,NO,NO,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
230,9,3,1,14,14-21,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
231,4,0,4,14,14-21,21214,EAST,NO,NO,NO,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
232,6,0,1,14,14-15,21205,EAST,NO,YES,NO,"GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
233,20,5,7,14,14-21,21252,NORTH,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
234,2,0,2,16,16-21,21203,DOWNTOWN,NO,YES,YES,"CAMP COUNSELOR,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
235,19,0,17,18,18-21,21208,NORTH,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
236,12,0,2,16,16-21,21217,WEST,NO,YES,YES,"COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
237,7,0,3,16,16-17,21224,EAST,NO,YES,YES,"CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
238,2,1,0,14,14-21,21230,SOUTH,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
239,2,0,2,15,16-17,21212,EAST,NO,YES,YES,"VISUAL ARTS,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
240,5,0,1,19,18-21,21215,WEST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
241,1,0,1,16,16-17,21163,WEST,NO,NO,NO,"COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
242,4,1,4,16,16-17,21203,DOWNTOWN,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
243,1,0,1,16,16-17,21220,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
244,4,1,2,16,16-21,21210,NORTH,NO,NO,YES,"VISUAL ARTS,
MUSICAL ARTS,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
LEGAL,
GRAPHIC DESIGN,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
245,5,1,4,18,18-21,21224,EAST,NO,NO,NO,"MUSICAL ARTS,
NURSING,
CUSTODIAL,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
246,27,2,23,15,16-21,21228,SOUTH,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
247,5,3,2,15,16-17,21215,WEST,NO,NO,NO,"STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
248,18,0,2,15,16-17,21217,WEST,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
NURSING,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
249,1,0,1,16,16-17,21220,EAST,NO,NO,NO,"COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
250,2,0,2,14,14-15,21204,EAST,NO,YES,YES,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
NURSING,
CUSTODIAL,
CLERICAL OFFICE WORK,",OFFICE EQUIPMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
251,14,1,7,16,16-21,21216,WEST,NO,NO,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
NURSING,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
252,9,4,7,15,16-17,21201,DOWNTOWN,NO,NO,YES,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
253,1,0,1,15,16-21,21163,WEST,NO,YES,YES,"MUSICAL ARTS,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
254,15,5,15,16,16-17,21217,WEST,NO,NO,NO,"MUSICAL ARTS,
CUSTODIAL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
255,7,5,0,16,16-21,21214,EAST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,
ELECTRICAL/CARPENTRY,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
256,10,6,0,14,14-21,21205,EAST,NO,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
257,2,0,1,14,14-15,21220,EAST,NO,NO,YES,"TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
ELDERLY SERVICES,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
258,6,1,4,16,16-21,21215,WEST,NO,YES,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,
ELDERLY SERVICES,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
259,8,1,4,14,14-21,21205,EAST,NO,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
260,2,0,2,15,16-21,21214,EAST,YES,NO,YES,"ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
HOSPITALITY/TRAVEL,
RETAIL (16+ YEAR OLD ONLY),
ARCHITECTURE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
261,7,0,1,14,14-15,21214,EAST,NO,YES,NO,"COMMUNICATION/MEDIA,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
262,9,6,4,16,16-17,21214,EAST,NO,YES,NO,"ENVIRONMENTAL/GREEN,
NURSING,
GOVERNMENT/PUBLIC SERVICE,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
263,11,3,9,16,16-17,21229,WEST,NO,YES,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
264,6,0,3,16,16-21,21122,EAST,NO,NO,NO,"RECREATION AND SPORTS,
LEGAL,",DANCING,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
265,3,1,2,16,16-17,21212,EAST,NO,YES,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
AUTO MECHANICS,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
266,8,2,6,15,16-17,21215,WEST,YES,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
267,6,4,2,15,16-21,21223,WEST,NO,YES,NO,"CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
268,16,0,2,16,16-21,21217,WEST,YES,YES,NO,"RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
ELDERLY SERVICES,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
269,6,4,4,16,16-21,21206,EAST,NO,NO,NO,"VISUAL ARTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
CUSTODIAL,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
270,6,0,3,16,16-21,21214,EAST,YES,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
271,9,2,6,16,16-21,21215,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
NURSING,
COMMUNITY SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
272,1,0,0,14,14-21,21220,EAST,NO,NO,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
273,8,0,5,16,16-21,21212,EAST,YES,NO,YES,"COMPUTER INFORMATION TECH,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
274,7,1,5,18,18-21,21223,WEST,YES,NO,NO,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,","SWIMMING, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
275,7,0,6,15,16-17,21237,EAST,NO,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
STEM,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
276,4,0,3,15,16-17,21212,EAST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
277,12,8,2,14,14-21,21217,WEST,NO,YES,YES,"STEM,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
278,8,1,8,14,14-15,21230,SOUTH,NO,NO,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
279,5,0,3,14,14-15,21212,EAST,YES,NO,YES,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
280,5,0,0,15,16-17,21223,WEST,NO,NO,YES,"COMPUTER INFORMATION TECH,
CUSTODIAL,
STEM,
CONSTRUCTION/MANUFACTURING,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
281,11,0,0,17,16-17,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
TEACHER'S AIDE,
CUSTODIAL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
282,12,1,11,16,16-21,21229,WEST,NO,NO,NO,"MUSICAL ARTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
283,5,2,2,16,16-17,21203,DOWNTOWN,NO,NO,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
284,12,10,5,19,18-21,21229,WEST,NO,YES,YES,"CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
285,7,3,5,16,16-17,21216,WEST,NO,YES,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
GRAPHIC DESIGN,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
286,13,6,7,16,16-17,21201,DOWNTOWN,NO,NO,NO,"ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
287,10,0,1,14,14-21,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
288,6,0,1,16,16-17,21224,EAST,NO,YES,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
