CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,Priority
369021617,17,21215,NO,WEST,NO,NO,YES,CLERICAL OFFICE WORK,BUSINESS/FINANCE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
582002235,17,21214,NO,EAST,NO,YES,YES,NURSING,ELDERLY SERVICES,;VISUAL ARTS; SWIMMING,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
172677869,17,21212,NO,EAST,YES,YES,NO,NURSING,STEM,;POETRY,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
141679424,18,21228,NO,SOUTH,YES,NO,NO,NURSING,COMPUTER INFORMATION TECH,";PLAYS INSTRUMENT; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
403824773,20,21228,NO,SOUTH,YES,NO,NO,ELDERLY SERVICES,AUTO MECHANICS,,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
112029965,16,21216,NO,WEST,YES,YES,NO,STEM,COMPUTER INFORMATION TECH,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
165148495,18,21212,NO,EAST,YES,YES,YES,GRAPHIC DESIGN,NURSING,;SPANISH & ENGLISH BILINGUAL,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
114436589,18,21217,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,RECREATION AND SPORTS,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
570315454,18,21204,NO,EAST,YES,YES,NO,BUSINESS/FINANCE,PRE-SCHOOL CHILDCARE,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,3
123336843,15,21228,NO,SOUTH,YES,NO,YES,STEM,AUTO MECHANICS,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
352976489,17,21216,NO,WEST,NO,YES,YES,RETAIL (16+ YEAR OLD ONLY),CULINARY ARTS/FOOD SERVICE,;CADD,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
579275067,15,21217,NO,WEST,NO,YES,YES,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,3
410618877,15,21231,NO,DOWNTOWN,NO,YES,YES,COMMUNICATION/MEDIA,STEM,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,2
597848447,18,21212,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
272558139,15,21217,NO,WEST,NO,YES,NO,CLERICAL OFFICE WORK,STEM,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
239253065,16,21211,NO,WEST,NO,YES,NO,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,;VISUAL ARTS; SWIMMING; DANCING,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
460824926,18,21216,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,ARCHITECTURE,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,3
186915613,15,21205,NO,EAST,YES,YES,YES,LEGAL,STEM,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
164393236,15,21222,NO,EAST,NO,YES,YES,MUSICAL ARTS,COMPUTER INFORMATION TECH,";CADD; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
287078410,15,21211,NO,WEST,NO,YES,NO,PRE-SCHOOL CHILDCARE,CLERICAL OFFICE WORK,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
406484090,20,21214,NO,EAST,NO,NO,YES,PRE-SCHOOL CHILDCARE,VISUAL ARTS,;VISUAL ARTS; OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,1
486050375,16,21217,NO,WEST,YES,NO,NO,CULINARY ARTS/FOOD SERVICE,MUSICAL ARTS,;CADD; DANCING,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
280531465,15,21212,NO,EAST,NO,YES,YES,MUSICAL ARTS,ELDERLY SERVICES,;VISUAL ARTS; CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
289855500,18,21228,NO,SOUTH,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,MUSICAL ARTS,;CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,3
209535361,14,21204,NO,EAST,NO,NO,NO,LEGAL,NURSING,;DANCING,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
478279232,18,21217,NO,WEST,NO,YES,YES,COMPUTER INFORMATION TECH,VISUAL ARTS,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
200051531,17,21214,NO,EAST,YES,NO,NO,GOVERNMENT/PUBLIC SERVICE,CULINARY ARTS/FOOD SERVICE,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
365891452,20,21225,NO,SOUTH,YES,NO,NO,NURSING,STEM,";(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,3
564673871,18,21215,NO,WEST,YES,YES,NO,TEACHER'S AIDE,HOSPITALITY/TRAVEL,;SWIMMING,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
366741030,19,21237,NO,EAST,YES,NO,NO,PRE-SCHOOL CHILDCARE,STEM,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
518846193,17,21224,NO,EAST,NO,YES,YES,CLERICAL OFFICE WORK,CULINARY ARTS/FOOD SERVICE,;CADD,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
134449020,17,21213,NO,EAST,YES,NO,NO,LEGAL,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
170249136,16,21217,NO,WEST,NO,YES,YES,ENVIRONMENTAL/GREEN,PRE-SCHOOL CHILDCARE,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
376111786,16,21211,NO,WEST,NO,YES,YES,COMPUTER INFORMATION TECH,PRE-SCHOOL CHILDCARE,;CADD; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
475230016,19,21217,NO,WEST,NO,YES,YES,NURSING,RECREATION AND SPORTS,";CADD; OFFICE EQUIPEMENT; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,3
520576901,15,21205,NO,EAST,YES,YES,YES,GRAPHIC DESIGN,CULINARY ARTS/FOOD SERVICE,;SWIMMING; CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
304976376,19,21206,NO,EAST,NO,YES,NO,NURSING,STEM,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,2
174261517,16,21205,NO,EAST,NO,YES,NO,COMPUTER INFORMATION TECH,LEGAL,;PLAYS INSTRUMENT,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
108097129,18,21212,NO,EAST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
508649384,18,21211,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,1
523826495,14,21214,NO,EAST,NO,NO,NO,STEM,CULINARY ARTS/FOOD SERVICE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
200804363,16,21204,NO,EAST,YES,YES,NO,NURSING,STEM,";(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,3
164171103,15,21211,NO,WEST,YES,NO,NO,RECREATION AND SPORTS,RETAIL (16+ YEAR OLD ONLY),;SWIMMING; DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
495105686,15,21229,NO,WEST,NO,YES,NO,NURSING,LEGAL,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
337428895,16,21223,NO,WEST,NO,YES,NO,STEM,CULINARY ARTS/FOOD SERVICE,;SPANISH & ENGLISH BILINGUAL,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
399389713,17,21215,NO,WEST,NO,YES,YES,TEACHER'S AIDE,ELDERLY SERVICES,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
180859731,16,21030,NO,NORTH,NO,YES,NO,PRE-SCHOOL CHILDCARE,NURSING,;PLAYS INSTRUMENT,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
307895096,18,21214,NO,EAST,YES,NO,YES,CAMP COUNSELOR,ARCHITECTURE,;VISUAL ARTS,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
506280692,18,21229,NO,WEST,NO,YES,YES,COMMUNICATION/MEDIA,TEACHER'S AIDE,;OFFICE EQUIPEMENT,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
357495218,17,21216,NO,WEST,YES,YES,NO,ELDERLY SERVICES,ELDERLY SERVICES,;SWIMMING,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
150093230,17,21201,NO,DOWNTOWN,YES,NO,NO,RECREATION AND SPORTS,NURSING,;POETRY,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
325154267,15,21216,NO,WEST,NO,YES,NO,NURSING,CONSTRUCTION/MANUFACTURING,;DANCING,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
280109610,17,21215,NO,WEST,YES,YES,NO,COMMUNITY SERVICE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
452827723,16,21224,NO,EAST,NO,NO,YES,ELECTRICAL/CARPENTRY,TEACHER'S AIDE,;POETRY,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,2
516392998,17,21216,NO,WEST,YES,NO,NO,COMPUTER INFORMATION TECH,AUTO MECHANICS,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
197626477,15,21217,NO,WEST,NO,NO,NO,ELDERLY SERVICES,COMPUTER INFORMATION TECH,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,3
177921031,18,21205,NO,EAST,NO,YES,YES,CLERICAL OFFICE WORK,NURSING,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,1
199743091,17,21231,NO,DOWNTOWN,YES,NO,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
302966171,16,21212,NO,EAST,YES,NO,NO,HOSPITALITY/TRAVEL,ENVIRONMENTAL/GREEN,;OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
306430849,16,21216,NO,WEST,NO,YES,NO,MUSICAL ARTS,CONSTRUCTION/MANUFACTURING,;VISUAL ARTS; CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
498526572,17,21214,NO,EAST,NO,YES,YES,PRE-SCHOOL CHILDCARE,TEACHER'S AIDE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
143352285,18,21206,NO,EAST,YES,NO,NO,GRAPHIC DESIGN,GOVERNMENT/PUBLIC SERVICE,";SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
561913475,16,21212,NO,EAST,NO,YES,NO,COMPUTER INFORMATION TECH,TEACHER'S AIDE,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
443903745,18,21228,NO,SOUTH,YES,NO,NO,NURSING,ENVIRONMENTAL/GREEN,,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
289945956,20,21217,NO,WEST,NO,NO,NO,AUTO MECHANICS,MUSICAL ARTS,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
154380248,17,21217,NO,WEST,NO,YES,NO,BUSINESS/FINANCE,HOSPITALITY/TRAVEL,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
286420148,16,21214,NO,EAST,NO,YES,YES,AUTO MECHANICS,ARCHITECTURE,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
236820218,17,21214,NO,EAST,NO,YES,YES,RETAIL (16+ YEAR OLD ONLY),PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
159766704,16,21215,NO,WEST,NO,YES,NO,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,1
239219996,16,21201,NO,DOWNTOWN,NO,NO,YES,RETAIL (16+ YEAR OLD ONLY),PRE-SCHOOL CHILDCARE,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
402637959,17,21223,NO,WEST,YES,NO,NO,NURSING,VISUAL ARTS,;SWIMMING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,3
429955958,15,21215,NO,WEST,NO,YES,NO,MUSICAL ARTS,VISUAL ARTS,;VISUAL ARTS; DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
567251274,16,21215,NO,WEST,YES,NO,NO,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,;VISUAL ARTS; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
450698196,15,21224,NO,EAST,YES,NO,NO,NURSING,HOSPITALITY/TRAVEL,,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
338010582,14,21216,NO,WEST,YES,NO,NO,VISUAL ARTS,ENVIRONMENTAL/GREEN,";VISUAL ARTS; SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
213305428,16,21205,NO,EAST,NO,YES,YES,ARCHITECTURE,CUSTODIAL,;SPANISH & ENGLISH BILINGUAL,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
315066445,15,21215,NO,WEST,YES,NO,NO,ENVIRONMENTAL/GREEN,CUSTODIAL,;OFFICE EQUIPEMENT; DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
542954087,16,21212,NO,EAST,YES,NO,NO,STEM,COMMUNITY SERVICE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,3
341131936,15,21205,NO,EAST,YES,NO,NO,RECREATION AND SPORTS,RETAIL (16+ YEAR OLD ONLY),;POETRY,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
115057697,21,21224,NO,EAST,YES,NO,NO,RETAIL (16+ YEAR OLD ONLY),RECREATION AND SPORTS,;SPANISH & ENGLISH BILINGUAL,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
235027214,17,21163,NO,WEST,NO,YES,YES,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,2
192293414,16,21204,NO,EAST,YES,NO,NO,NURSING,RETAIL (16+ YEAR OLD ONLY),;POETRY,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
525866240,15,21212,NO,EAST,YES,NO,NO,RECREATION AND SPORTS,TEACHER'S AIDE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
530820211,20,21222,NO,EAST,NO,YES,NO,VISUAL ARTS,RETAIL (16+ YEAR OLD ONLY),;SWIMMING; CADD; OFFICE EQUIPEMENT,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
126898782,14,21216,NO,WEST,NO,YES,YES,PORT OR MARITIME INDUSTRY,PRE-SCHOOL CHILDCARE,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
586185472,18,21214,NO,EAST,NO,YES,NO,COMMUNICATION/MEDIA,ELDERLY SERVICES,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
107832648,18,21215,NO,WEST,YES,YES,YES,LEGAL,STEM,";SWIMMING; OFFICE EQUIPEMENT; (MICROSOFT WORD,POWERPOINT,EXCEL); DANCING",NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,2
580265455,17,21214,NO,EAST,NO,YES,YES,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,;CADD; POETRY,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
205708709,14,21228,NO,SOUTH,NO,YES,YES,VISUAL ARTS,GOVERNMENT/PUBLIC SERVICE,;VISUAL ARTS,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,3
468414837,18,21215,NO,WEST,YES,NO,YES,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
527150072,15,21214,NO,EAST,YES,NO,YES,PRE-SCHOOL CHILDCARE,CULINARY ARTS/FOOD SERVICE,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
242301195,14,21214,NO,EAST,NO,YES,NO,ARCHITECTURE,COMPUTER INFORMATION TECH,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
514828220,16,21204,NO,EAST,YES,NO,NO,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,;CADD,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,1
