Worksite ID,Minimum Age,Maximum Age,Zip,Youth Requested,Side of City,Working Outside,Dress Code,With Computers,Career Interests,Skills,Job Choice 1,2nd Language
218,16,17,21204,6,Outside City (East),No,Yes,Yes,"Camp Counselor
Construction Trades
Clerical Office Work","Microsoft Word, Powerpoint, Excel",H,
219,14,16,21201,12,Downtown,Yes,No,No,"Camp Counselor
Environmental/Green
Culinary Arts/Food Service",,G,
220,15,17,21201,10,Downtown,No,Yes,Yes,"Business/Finance
Environmental/Green
Computer Information Tech
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
221,14,20,21223,9,West,No,No,No,"Business/Finance
Community Service
Hospitality/Travel
Port Or Maritime Industry",Spanish & English Bilingual,G,
222,16,18,21093,4,Outside City (North),No,No,No,Hospitality/Travel,"Microsoft Word, Powerpoint, Excel",A,
223,14,16,21163,1,Outside City (West),No,No,No,"Teacher's Aide
Business/Finance
Government/Public Service
Community Service",,F,
224,14,21,21229,14,West,No,No,No,"Recreation And Sports
Teacher's Aide
Camp Counselor
Environmental/Green
Nursing
Government/Public Service",,D,
225,14,21,21205,14,East,Yes,No,No,"Community Service
Communication/Media",,A,
226,17,19,21163,1,Outside City (West),No,No,No,"Camp Counselor
Community Service
Custodial
Communication/Media
STEM
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",E,
227,18,19,21250,2,Outside City (South),No,No,No,"Teacher's Aide
Business/Finance",,F,
228,15,20,21214,2,East,No,No,No,"Visual Arts
Recreation And Sports
Government/Public Service
Custodial
Communication/Media",,D,
229,16,21,21206,14,East,No,No,Yes,"Camp Counselor
Environmental/Green
Community Service
Computer Information Tech
Communication/Media",,D,
230,14,20,21201,9,Downtown,No,No,No,"Musical Arts
Business/Finance
Community Service
Architecture",,E,
231,14,20,21214,4,East,No,No,No,"Business/Finance
Government/Public Service
Community Service
Custodial
STEM",,C,
232,14,17,21205,6,East,No,Yes,No,"Government/Public Service
Custodial
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
233,14,18,21252,20,Outside City (North),No,No,No,"Pre-School Childcare
Recreation And Sports
Teacher's Aide
Environmental/Green","Microsoft Word, Powerpoint, Excel",C,
234,16,19,21203,2,Downtown,No,Yes,Yes,"Camp Counselor
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
235,18,19,21208,19,North,No,No,No,"Teacher's Aide
Business/Finance
Community Service
Communication/Media",,H,
236,16,20,21217,12,West,No,Yes,Yes,"Computer Information Tech
Communication/Media
Graphic Design",,H,
237,16,18,21224,7,East,No,Yes,Yes,"Culinary Arts/Food Service
Custodial
Clerical Office Work","Microsoft Word, Powerpoint, Excel",C,
238,14,19,21230,2,South,No,No,No,"Pre-School Childcare
Camp Counselor
Community Service
STEM",,F,
239,15,16,21212,2,East,No,Yes,Yes,"Visual Arts
Clerical Office Work","Microsoft Word, Powerpoint, Excel",C,
240,19,20,21215,5,West,No,No,No,Camp Counselor,,G,
241,16,17,21163,1,Outside City (West),No,No,No,"Community Service
Communication/Media",,G,
242,16,18,21203,4,Downtown,No,No,No,"Government/Public Service
Custodial",,G,
243,16,17,21220,1,Outside City (East),No,No,No,Environmental/Green,,B,
244,16,19,21210,4,North,No,No,Yes,"Visual Arts
Musical Arts
Recreation And Sports
Community Service
Computer Information Tech
Legal
Graphic Design",Swimming,C,
245,18,19,21224,5,East,No,No,No,"Musical Arts
Nursing
Custodial
Communication/Media",,E,
246,15,20,21228,27,South,No,No,No,Business/Finance,,F,
247,15,16,21215,5,West,No,No,No,Engineering,,F,
248,15,16,21217,18,West,No,No,No,"Visual Arts
Musical Arts
Pre-School Childcare
Camp Counselor
Nursing","Visual Arts (Drawing, painting, etc)",F,
249,16,18,21220,1,Outside City (East),No,No,No,"Community Service
Custodial",,C,
250,14,15,21204,2,Outside City (East),No,Yes,Yes,"Recreation And Sports
Teacher's Aide
Camp Counselor
Nursing
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)",D,
251,16,21,21216,14,West,No,No,No,"Recreation And Sports
Business/Finance
Environmental/Green
Nursing
Communication/Media",,E,
252,15,16,21201,9,Downtown,No,No,Yes,"Business/Finance
Government/Public Service
Community Service
Computer Information Tech",,D,
253,15,19,21163,1,Outside City (West),No,Yes,Yes,"Musical Arts
Government/Public Service
Community Service
Computer Information Tech
Clerical Office Work","Microsoft Word, Powerpoint, Excel",G,
254,16,17,21217,15,West,No,No,No,"Musical Arts
Custodial
Retail (17+ Year Old Only)",,D,
255,16,21,21214,7,East,Yes,No,No,"Environmental/Green
Communication/Media
Electrical/Carpentry","Microsoft Word, Powerpoint, Excel",C,
256,14,18,21205,10,East,No,No,No,"Visual Arts
Pre-School Childcare
Government/Public Service
Custodial",,A,
257,14,17,21220,2,Outside City (East),No,No,Yes,"Teacher's Aide
Camp Counselor
Business/Finance
Computer Information Tech
Communication/Media
Elderly Services",,H,
258,16,19,21215,6,West,No,Yes,No,"Business/Finance
Community Service
Custodial
Clerical Office Work
Elderly Services","Microsoft Word, Powerpoint, Excel",D,
259,14,18,21205,8,East,No,No,No,"Visual Arts
Pre-School Childcare
Culinary Arts/Food Service",,C,
260,15,20,21214,2,East,Yes,No,Yes,"Environmental/Green
Computer Information Tech
Hospitality/Travel
Retail (17+ Year Old Only)
Architecture",,B,
261,14,13,21214,7,East,No,Yes,No,"Communication/Media
STEM",,F,
262,16,15,21214,9,East,No,Yes,No,"Environmental/Green
Nursing
Government/Public Service
Engineering
Clerical Office Work","Microsoft Word, Powerpoint, Excel",B,
263,16,18,21229,11,West,No,Yes,Yes,"Musical Arts
Pre-School Childcare
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",F,
264,16,20,21122,6,East,No,No,No,"Recreation And Sports
Legal",Dancing,A,
265,16,15,21212,3,East,No,Yes,Yes,"Visual Arts
Pre-School Childcare
Business/Finance
Government/Public Service
Communication/Media
Clerical Office Work
Auto Mechanics","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
266,15,16,21215,8,West,Yes,No,No,Environmental/Green,,B,
267,15,21,21223,6,West,No,Yes,No,"Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
268,16,20,21217,16,West,Yes,Yes,No,"Recreation And Sports
Government/Public Service
Clerical Office Work
Elderly Services","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
269,16,20,21206,6,East,No,No,No,"Visual Arts
Camp Counselor
Business/Finance
Custodial","Visual Arts (Drawing, painting, etc)",D,
270,16,20,21214,6,East,Yes,No,No,"Visual Arts
Recreation And Sports
Culinary Arts/Food Service",,C,
271,16,20,21215,9,West,No,No,No,"Pre-School Childcare
Nursing
Community Service",,A,
272,14,20,21220,1,Outside City (East),No,No,No,Community Service,,H,
273,16,21,21212,8,East,Yes,No,Yes,Computer Information Tech,"Microsoft Word, Powerpoint, Excel",E,
274,18,19,21223,7,West,Yes,No,No,"Recreation And Sports
Environmental/Green
Culinary Arts/Food Service","Swimming
Microsoft Word, Powerpoint, Excel",E,
275,15,16,21237,7,East,No,No,No,"Visual Arts
Pre-School Childcare
Camp Counselor
Community Service
Engineering
STEM",,D,
276,15,16,21212,4,East,No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance","Microsoft Word, Powerpoint, Excel",G,
277,14,20,21217,12,West,No,Yes,Yes,"Engineering
Clerical Office Work","Microsoft Word, Powerpoint, Excel",D,
278,14,17,21230,8,South,No,No,No,"Business/Finance
Community Service",,G,
279,14,17,21212,5,East,Yes,No,Yes,"Recreation And Sports
Business/Finance
Government/Public Service
Computer Information Tech
Engineering",,D,
280,15,17,21223,5,West,No,No,Yes,"Computer Information Tech
Custodial
Engineering
Construction Trades
STEM",,A,
281,17,18,21201,11,Downtown,No,No,No,"Musical Arts
Teacher's Aide
Custodial",,B,
282,16,20,21229,12,West,No,No,No,Musical Arts,,F,
283,16,17,21203,5,Downtown,No,No,No,"Business/Finance
Community Service",,A,
284,19,20,21229,12,West,No,Yes,Yes,"Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
285,16,18,21216,7,West,No,Yes,No,"Musical Arts
Pre-School Childcare
Business/Finance
Environmental/Green
Communication/Media
Clerical Office Work
Graphic Design","Microsoft Word, Powerpoint, Excel",C,
286,16,17,21201,13,Downtown,No,No,No,"Environmental/Green
Culinary Arts/Food Service
Communication/Media",,E,
287,14,18,21201,10,Downtown,No,No,No,Camp Counselor,,C,
288,16,17,21224,6,East,No,Yes,No,"Musical Arts
Pre-School Childcare
Recreation And Sports
Custodial
Construction Trades
Communication/Media",,G,
289,16,19,21244,27,Outside City (West),No,No,No,"Camp Counselor
Environmental/Green",,B,
290,16,19,21215,5,West,Yes,Yes,Yes,"Pre-School Childcare
Recreation And Sports
Business/Finance
Clerical Office Work","Microsoft Word, Powerpoint, Excel",H,
291,16,19,21229,8,West,No,No,No,"Camp Counselor
Environmental/Green
STEM",,F,
292,16,19,21212,5,East,No,Yes,No,"Visual Arts
Business/Finance
Community Service
Construction Trades
Clerical Office Work","Microsoft Word, Powerpoint, Excel",G,
293,14,17,21215,7,West,No,No,No,"Teacher's Aide
Government/Public Service",,D,
294,14,17,21229,9,West,No,No,No,Teacher's Aide,,H,
295,14,20,21216,8,West,Yes,No,No,"Teacher's Aide
Environmental/Green",,H,
296,14,16,20912,1,Outside City (South),No,Yes,No,"Pre-School Childcare
Government/Public Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
297,14,16,21216,15,West,No,Yes,Yes,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Environmental/Green
Computer Information Tech
Engineering
Clerical Office Work
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",B,
298,16,18,21220,1,Outside City (East),No,No,No,Environmental/Green,,B,
299,15,18,21216,10,West,No,Yes,Yes,Clerical Office Work,"Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
300,16,18,21205,9,East,No,Yes,Yes,"Musical Arts
Pre-School Childcare
Teacher's Aide
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
301,16,19,21201,11,Downtown,No,Yes,Yes,"Pre-School Childcare
Communication/Media
Retail (17+ Year Old Only)
Architecture",,D,
302,16,15,21203,2,Downtown,No,No,No,Government/Public Service,,E,
303,17,21,21215,6,West,No,Yes,Yes,"Musical Arts
Teacher's Aide
Business/Finance
Government/Public Service
Communication/Media
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",B,
304,14,19,21216,12,West,No,No,Yes,"Teacher's Aide
Community Service
Computer Information Tech",,D,
305,16,18,21213,14,East,No,Yes,Yes,"Camp Counselor
Culinary Arts/Food Service
Communication/Media
Clerical Office Work","Microsoft Word, Powerpoint, Excel",D,
306,14,17,21230,1,South,Yes,No,No,"Environmental/Green
Culinary Arts/Food Service
Custodial
STEM",,H,
307,14,18,21215,8,West,No,No,No,"Business/Finance
Communication/Media",,H,
308,14,18,21226,1,South,No,No,Yes,"Computer Information Tech
Custodial
Engineering
Communication/Media",,E,
309,18,21,21163,1,Outside City (West),No,No,No,Recreation And Sports,"Microsoft Word, Powerpoint, Excel",B,
310,16,18,21229,8,West,Yes,No,No,"Recreation And Sports
Camp Counselor
Community Service",,E,
311,16,20,21229,10,West,No,No,No,Camp Counselor,,B,
312,16,21,21217,16,West,No,No,No,Pre-School Childcare,,B,
313,16,20,21212,5,East,No,Yes,No,"Pre-School Childcare
Camp Counselor
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
314,15,16,21228,19,South,Yes,No,No,"Recreation And Sports
Camp Counselor
Engineering
Communication/Media",,F,
315,14,19,21215,7,West,No,No,No,Musical Arts,,D,
316,15,14,21205,3,East,No,No,Yes,"Musical Arts
Recreation And Sports
Environmental/Green
Community Service
Computer Information Tech
Custodial
Construction Trades",,C,
317,18,17,21206,11,East,No,No,Yes,"Environmental/Green
Community Service
Computer Information Tech
Engineering",,A,
318,14,17,21201,2,Downtown,No,No,No,"Communication/Media
Hospitality/Travel",,G,
319,16,19,21229,6,West,No,Yes,No,"Government/Public Service
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",G,
320,18,19,20705,4,Outside City (South),No,No,No,"Camp Counselor
Business/Finance",,G,
321,16,21,21216,13,West,No,No,No,"Pre-School Childcare
Recreation And Sports
Community Service
Custodial
Communication/Media",Swimming,C,
322,16,17,21217,15,West,No,No,No,Camp Counselor,,E,
323,16,18,21201,7,Downtown,Yes,No,No,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Environmental/Green
Government/Public Service",,B,
324,18,20,21229,14,West,Yes,No,No,"Musical Arts
Recreation And Sports
Community Service
Communication/Media",,G,
325,16,20,21210,5,North,No,No,Yes,"Pre-School Childcare
Business/Finance
Computer Information Tech",,D,
326,14,20,21163,1,Outside City (West),No,Yes,Yes,"Pre-School Childcare
Business/Finance
Computer Information Tech
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
327,18,21,21230,4,South,No,No,Yes,"Visual Arts
Teacher's Aide
Camp Counselor
Community Service
Computer Information Tech
STEM",,F,
328,14,18,21204,5,Outside City (East),Yes,Yes,Yes,"Recreation And Sports
Teacher's Aide
Camp Counselor
Culinary Arts/Food Service
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
329,16,20,21215,4,West,No,Yes,Yes,"Pre-School Childcare
Computer Information Tech
Clerical Office Work
Retail (17+ Year Old Only)
Architecture","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
330,16,20,21201,8,Downtown,No,Yes,No,"Visual Arts
Environmental/Green
Clerical Office Work","Visual Arts (Drawing, painting, etc)
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
331,16,20,21215,10,West,Yes,No,Yes,"Camp Counselor
Environmental/Green
Government/Public Service
Computer Information Tech
Communication/Media",,F,
332,14,21,21201,10,Downtown,No,No,No,"Pre-School Childcare
Business/Finance
Community Service
Communication/Media
Retail (17+ Year Old Only)",,F,
333,16,17,21163,1,Outside City (West),No,No,No,"Visual Arts
Environmental/Green
Community Service
Culinary Arts/Food Service
Communication/Media",,H,
334,18,19,21216,8,West,No,No,No,"Musical Arts
Recreation And Sports
Business/Finance
Government/Public Service
Community Service",,A,
335,14,16,21224,7,East,No,Yes,No,"Business/Finance
Nursing
Clerical Office Work","Microsoft Word, Powerpoint, Excel",D,
336,14,15,21217,16,West,No,No,No,Graphic Design,,C,
337,16,18,21205,6,East,No,No,No,Custodial,,G,
338,14,18,21223,11,West,Yes,No,Yes,Computer Information Tech,,B,
339,16,19,21229,9,West,No,No,No,Teacher's Aide,,D,
340,14,18,21204,1,Outside City (East),No,No,No,"Business/Finance
Nursing
Community Service
Custodial
Hospitality/Travel",,B,
341,18,21,21206,11,East,Yes,No,No,"Environmental/Green
Custodial",,H,
342,18,19,21215,7,West,No,Yes,No,"Recreation And Sports
Business/Finance
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
343,16,19,21224,8,East,Yes,No,Yes,"Pre-School Childcare
Recreation And Sports
Business/Finance
Government/Public Service
Community Service
Culinary Arts/Food Service
Computer Information Tech
Communication/Media",,H,
344,16,18,21215,4,West,No,No,No,"Recreation And Sports
Community Service",,B,
345,14,15,21217,15,West,No,No,No,"Camp Counselor
Community Service
Custodial
Communication/Media
STEM",,B,
346,16,18,21216,5,West,No,No,Yes,"Visual Arts
Pre-School Childcare
Community Service
Computer Information Tech",,D,
347,16,20,21229,12,West,No,Yes,Yes,"Visual Arts
Business/Finance
Environmental/Green
Computer Information Tech
Construction Trades
Communication/Media
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",B,
348,14,16,21203,1,Downtown,No,No,No,"Visual Arts
Community Service
Custodial
Communication/Media","Visual Arts (Drawing, painting, etc)",B,
349,19,20,21209,23,North,No,Yes,Yes,"Pre-School Childcare
Community Service
Clerical Office Work
Hospitality/Travel
Elderly Services","Microsoft Word, Powerpoint, Excel",B,
350,14,17,21229,10,West,Yes,No,No,"Visual Arts
Recreation And Sports
Culinary Arts/Food Service
STEM","Microsoft Word, Powerpoint, Excel",F,
351,14,17,21203,2,Downtown,No,No,Yes,"Musical Arts
Business/Finance
Government/Public Service
Computer Information Tech
Custodial","Microsoft Word, Powerpoint, Excel",B,
352,15,17,21163,1,Outside City (West),Yes,No,No,"Recreation And Sports
Environmental/Green",,G,
353,14,21,21216,9,West,No,Yes,Yes,"Pre-School Childcare
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)",E,
354,18,20,21203,1,Downtown,No,No,No,Business/Finance,,D,
355,14,16,21205,7,East,No,No,No,"Camp Counselor
Government/Public Service
Custodial
Graphic Design",,B,
356,16,17,21229,2,West,No,No,No,"Teacher's Aide
Camp Counselor
Custodial
Engineering",,D,
357,14,16,21216,6,West,No,No,No,"Teacher's Aide
Graphic Design",,C,
358,16,19,21201,10,Downtown,Yes,Yes,Yes,"Recreation And Sports
Environmental/Green
Government/Public Service
Custodial
Communication/Media
Clerical Office Work
Hospitality/Travel
Graphic Design","Microsoft Word, Powerpoint, Excel",A,
359,14,17,21216,7,West,No,No,Yes,"Environmental/Green
Computer Information Tech","Microsoft Word, Powerpoint, Excel",B,
360,16,19,21208,17,North,Yes,No,No,"Visual Arts
Recreation And Sports
Legal",,F,
361,16,20,21230,2,South,Yes,No,No,"Camp Counselor
Environmental/Green
Community Service
Legal
Electrical/Carpentry",,H,
362,16,18,21220,3,Outside City (East),No,No,No,"Community Service
Engineering
Communication/Media
Architecture",,F,
363,16,21,21201,2,Downtown,No,No,No,"Musical Arts
Pre-School Childcare
Community Service
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",H,
364,14,17,21201,15,Downtown,No,Yes,No,"Visual Arts
Pre-School Childcare
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
365,16,17,21163,1,Outside City (West),No,No,No,"Camp Counselor
Custodial
Graphic Design",,H,
366,16,21,21078,1,Outside City (East),No,No,No,"Environmental/Green
Community Service
Construction Trades
Communication/Media",,A,
367,14,17,21212,7,East,No,No,No,Community Service,,B,
368,16,19,21214,4,East,Yes,No,Yes,"Musical Arts
Pre-School Childcare
Recreation And Sports
Camp Counselor
Community Service
Computer Information Tech","Microsoft Word, Powerpoint, Excel
Dancing",C,
369,16,18,21201,12,Downtown,No,Yes,No,"Teacher's Aide
Business/Finance
Government/Public Service
Engineering
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
370,14,13,21212,6,East,No,Yes,Yes,"Pre-School Childcare
Community Service
Communication/Media
Auto Mechanics",,D,
371,16,17,21201,12,Downtown,No,No,No,"Environmental/Green
Custodial
Communication/Media",,F,
372,18,19,21163,1,Outside City (West),No,No,No,"Visual Arts
Community Service
Culinary Arts/Food Service",,G,Spanish
373,16,15,21228,16,South,No,No,No,Custodial,"Microsoft Word, Powerpoint, Excel",C,
374,16,19,21163,1,Outside City (West),No,No,No,"Pre-School Childcare
Recreation And Sports
Community Service
Communication/Media
Hospitality/Travel",,F,Spanish
375,17,21,21209,15,North,Yes,No,No,"Recreation And Sports
Teacher's Aide
Communication/Media",Swimming,G,
376,18,19,21201,10,Downtown,Yes,No,No,"Pre-School Childcare
Recreation And Sports",,D,
377,16,20,21216,9,West,No,No,No,"Visual Arts
Teacher's Aide
Camp Counselor
Communication/Media","Visual Arts (Drawing, painting, etc)
Spoken Word or Poetry",A,
378,16,17,21220,2,Outside City (East),No,No,No,"Pre-School Childcare
Business/Finance
Environmental/Green
Engineering",,E,
379,15,16,21250,1,Outside City (South),No,No,No,"Visual Arts
Pre-School Childcare
Culinary Arts/Food Service
Graphic Design",,C,
380,16,21,21201,19,Downtown,Yes,No,No,"Recreation And Sports
Teacher's Aide
Camp Counselor
Environmental/Green
Custodial
Hospitality/Travel
Electrical/Carpentry","Microsoft Word, Powerpoint, Excel",F,
381,14,20,21163,1,Outside City (West),No,No,No,"Visual Arts
Camp Counselor
Environmental/Green",,A,
382,14,17,21214,4,East,No,No,No,"Camp Counselor
Community Service
Hospitality/Travel",,A,
383,18,19,21215,10,West,No,Yes,Yes,"Visual Arts
Business/Finance
Culinary Arts/Food Service
Custodial
Clerical Office Work
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",G,
384,14,21,21201,8,Downtown,No,No,No,Teacher's Aide,,B,
385,16,19,21201,12,Downtown,No,No,No,Musical Arts,"Plays an Instrument
Microsoft Word, Powerpoint, Excel",F,
386,14,21,21201,11,Downtown,Yes,No,No,"Visual Arts
Recreation And Sports
Teacher's Aide
Community Service
Custodial
STEM
Hospitality/Travel",,C,
387,18,20,21217,13,West,No,No,No,"Visual Arts
Government/Public Service
Community Service
Engineering",,A,
388,18,21,21214,4,East,Yes,Yes,Yes,"Business/Finance
Environmental/Green
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
389,14,16,21229,8,West,No,No,No,"Teacher's Aide
Camp Counselor
Graphic Design",,F,
390,14,15,21229,8,West,Yes,No,No,"Teacher's Aide
Environmental/Green
Custodial",,B,
391,16,19,21216,6,West,No,Yes,No,"Visual Arts
Musical Arts
Teacher's Aide
Camp Counselor
Business/Finance
Custodial
Engineering
Communication/Media
Clerical Office Work
Hospitality/Travel
Elderly Services","Plays an Instrument
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
392,18,19,21163,4,Outside City (West),No,No,Yes,"Recreation And Sports
Computer Information Tech
STEM
Legal
Hospitality/Travel",,E,
393,15,19,21210,5,North,No,No,No,"Musical Arts
Business/Finance
Engineering
Legal",Spanish & English Bilingual,E,
394,14,17,21201,12,Downtown,No,No,No,"Environmental/Green
Hospitality/Travel",,B,
395,16,15,21212,2,East,No,No,No,Community Service,,E,
396,16,21,21201,7,Downtown,No,No,No,"Teacher's Aide
Camp Counselor
Government/Public Service
Community Service
Culinary Arts/Food Service
Communication/Media",,H,
397,16,21,21212,2,East,No,Yes,Yes,"Computer Information Tech
Custodial
Engineering
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
398,15,21,21215,4,West,No,No,No,"Community Service
STEM",,B,
399,16,17,21216,11,West,No,No,No,"Pre-School Childcare
Business/Finance
Government/Public Service
Legal",,E,
400,15,16,21220,1,Outside City (East),No,No,No,"Recreation And Sports
Community Service
STEM","Microsoft Word, Powerpoint, Excel
Dancing",E,
401,14,20,21201,6,Downtown,Yes,No,No,"Pre-School Childcare
Camp Counselor
Environmental/Green
Community Service
Custodial",,E,
402,15,16,21214,2,East,No,No,Yes,"Pre-School Childcare
Business/Finance
Environmental/Green
Computer Information Tech
Communication/Media",,B,
403,16,21,21201,6,Downtown,No,Yes,No,"Pre-School Childcare
Camp Counselor
Environmental/Green
Graphic Design
Port Or Maritime Industry",,G,
404,15,18,21216,5,West,No,Yes,No,"Recreation And Sports
Camp Counselor
Environmental/Green
Community Service
Custodial
Legal",,G,
405,17,20,21214,6,East,No,Yes,Yes,"Teacher's Aide
Computer Information Tech
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
406,18,20,20912,1,Outside City (South),No,No,Yes,"Government/Public Service
Computer Information Tech",,F,
407,14,15,21216,5,West,No,No,No,Visual Arts,"Microsoft Word, Powerpoint, Excel",F,
408,16,17,21201,7,Downtown,No,No,No,Communication/Media,,D,
409,18,20,21244,22,Outside City (West),No,Yes,No,"Musical Arts
Clerical Office Work
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",D,Spanish
410,16,18,21237,12,East,No,No,No,Engineering,,E,
411,16,19,21205,8,East,Yes,Yes,No,"Pre-School Childcare
Recreation And Sports
Business/Finance
Community Service
Communication/Media
Clerical Office Work",,D,
412,16,15,21093,3,Outside City (North),Yes,No,No,Community Service,,E,
413,16,20,21216,12,West,No,No,No,"Musical Arts
Government/Public Service
Community Service",Plays an Instrument,A,
414,14,20,21214,2,East,Yes,No,No,"Pre-School Childcare
Recreation And Sports
Business/Finance
Environmental/Green",,C,
415,14,21,21216,12,West,No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance
Environmental/Green",,D,
416,14,19,21205,2,East,No,No,Yes,"Pre-School Childcare
Environmental/Green
Computer Information Tech",,A,
417,16,20,21217,13,West,No,No,No,"Musical Arts
Recreation And Sports
Teacher's Aide
Communication/Media
Elderly Services",Dancing,B,
418,15,21,21214,4,East,No,Yes,Yes,"Community Service
Custodial
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
419,16,21,21217,12,West,Yes,No,No,"Government/Public Service
Community Service
Custodial
Engineering
Communication/Media
Legal",,F,
420,16,19,21235,4,Outside City (West),Yes,No,No,"Recreation And Sports
Communication/Media","Microsoft Word, Powerpoint, Excel",E,
421,18,21,21217,8,West,Yes,No,No,"Recreation And Sports
Camp Counselor
Business/Finance
Community Service
Custodial
Electrical/Carpentry",,C,
422,16,20,21220,2,Outside City (East),Yes,No,No,"Visual Arts
Recreation And Sports
Nursing",,H,
423,15,17,21217,14,West,No,No,Yes,"Government/Public Service
Computer Information Tech
Custodial
STEM","Microsoft Word, Powerpoint, Excel",F,
424,14,16,21229,14,West,Yes,Yes,Yes,"Visual Arts
Clerical Office Work
Graphic Design","Microsoft Word, Powerpoint, Excel",B,
425,16,20,21201,6,Downtown,No,No,No,"Pre-School Childcare
Camp Counselor
Government/Public Service
Community Service
Graphic Design","Visual Arts (Drawing, painting, etc)",H,
426,16,18,21206,6,East,No,No,No,Pre-School Childcare,"Microsoft Word, Powerpoint, Excel",F,
427,18,20,21223,7,West,No,Yes,Yes,"Camp Counselor
Clerical Office Work
Retail (17+ Year Old Only)","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
428,16,17,21216,12,West,Yes,No,No,"Recreation And Sports
Business/Finance
Communication/Media",,G,
429,14,20,21214,3,East,No,Yes,Yes,"Business/Finance
Environmental/Green
Community Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
430,14,20,21201,12,Downtown,Yes,No,No,"Pre-School Childcare
Camp Counselor
Environmental/Green
Auto Mechanics",,G,
431,14,18,21214,2,East,No,No,No,Communication/Media,,E,
432,16,18,21214,3,East,No,No,No,"Teacher's Aide
STEM",,H,
433,17,20,21163,1,Outside City (West),No,No,Yes,"Computer Information Tech
Custodial
Hospitality/Travel",,D,
434,14,16,21163,1,Outside City (West),No,Yes,Yes,"Community Service
Computer Information Tech
Communication/Media
Architecture",,C,
435,16,21,21203,3,Downtown,No,No,No,Nursing,,H,
436,16,17,21217,150,West,No,Yes,Yes,"Nursing
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",G,
437,16,18,21210,3,North,No,No,No,Communication/Media,,B,
